server time,value,UM,board time,latitude,longitude
2022-06-29 14:08:29.297,39,,2022-06-29 14:08:28.980,,
2022-06-29 14:09:31.347,39,,2022-06-29 14:09:31.167,,
2022-06-29 14:10:33.530,39,,2022-06-29 14:10:33.450,,
2022-06-29 14:11:35.273,39,,2022-06-29 14:11:35.217,,
2022-06-29 14:12:37.933,39,,2022-06-29 14:12:37.047,,
2022-06-29 14:13:40.727,39,,2022-06-29 14:13:40.683,,
2022-06-29 14:14:42.677,39,,2022-06-29 14:14:42.623,,
2022-06-29 14:15:44.710,39,,2022-06-29 14:15:44.663,,
2022-06-29 14:16:46.423,38,,2022-06-29 14:16:46.380,,
2022-06-29 14:17:48.350,38,,2022-06-29 14:17:48.300,,
2022-06-29 14:18:50.263,38,,2022-06-29 14:18:50.213,,
2022-06-29 14:19:52.353,38,,2022-06-29 14:19:52.293,,
2022-06-29 14:20:54.503,38,,2022-06-29 14:20:54.000,,
2022-06-29 14:21:55.860,38,,2022-06-29 14:21:55.820,,
2022-06-29 14:22:57.693,38,,2022-06-29 14:22:57.647,,
2022-06-29 14:23:59.553,38,,2022-06-29 14:23:59.503,,
2022-06-29 14:25:01.823,39,,2022-06-29 14:25:01.767,,
2022-06-29 14:26:03.737,61,,2022-06-29 14:26:03.690,,
2022-06-29 14:27:05.717,82,,2022-06-29 14:27:05.663,,
2022-06-29 14:28:08.487,98,,2022-06-29 14:28:08.433,,
2022-06-29 14:29:10.260,113,,2022-06-29 14:29:10.200,,
2022-06-29 14:30:11.983,125,,2022-06-29 14:30:11.927,,
2022-06-29 14:31:13.837,137,,2022-06-29 14:31:13.767,,
2022-06-29 14:32:15.587,147,,2022-06-29 14:32:15.527,,
2022-06-29 14:33:17.417,157,,2022-06-29 14:33:17.357,,
2022-06-29 14:34:19.180,167,,2022-06-29 14:34:19.130,,
2022-06-29 14:35:20.903,175,,2022-06-29 14:35:20.797,,
2022-06-29 14:36:22.620,183,,2022-06-29 14:36:22.567,,
2022-06-29 14:37:24.823,190,,2022-06-29 14:37:24.757,,
2022-06-29 14:38:26.573,194,,2022-06-29 14:38:26.517,,
2022-06-29 14:39:29.167,198,,2022-06-29 14:39:29.103,,
2022-06-29 14:40:32.483,200,,2022-06-29 14:40:32.433,,
2022-06-29 14:41:34.260,201,,2022-06-29 14:41:34.217,,
2022-06-29 14:42:36.173,201,,2022-06-29 14:42:36.117,,
2022-06-29 14:43:37.903,201,,2022-06-29 14:43:37.840,,
2022-06-29 14:44:39.660,201,,2022-06-29 14:44:39.587,,
2022-06-29 14:45:41.537,201,,2022-06-29 14:45:41.480,,
