server time,value,UM,board time,latitude,longitude
2022-06-29 15:51:57.303,30,,2022-06-29 15:51:57.250,,
2022-06-29 15:52:59.493,30,,2022-06-29 15:52:58.977,,
2022-06-29 15:54:00.797,30,,2022-06-29 15:54:00.747,,
2022-06-29 15:55:02.960,30,,2022-06-29 15:55:02.867,,
2022-06-29 15:56:04.660,30,,2022-06-29 15:56:04.607,,
2022-06-29 15:57:06.433,30,,2022-06-29 15:57:06.377,,
2022-06-29 15:58:08.287,30,,2022-06-29 15:58:08.233,,
2022-06-29 15:59:10.457,30,,2022-06-29 15:59:10.000,,
2022-06-29 16:00:11.877,30,,2022-06-29 16:00:11.823,,
2022-06-29 16:01:14.467,30,,2022-06-29 16:01:14.423,,
2022-06-29 16:02:16.227,30,,2022-06-29 16:02:16.177,,
2022-06-29 16:03:19.567,30,,2022-06-29 16:03:19.507,,
2022-06-29 16:04:21.937,30,,2022-06-29 16:04:21.887,,
2022-06-29 16:05:24.867,30,,2022-06-29 16:05:24.737,,
2022-06-29 16:06:28.727,30,,2022-06-29 16:06:28.670,,
2022-06-29 16:07:31.153,30,,2022-06-29 16:07:31.103,,
2022-06-29 16:08:34.197,30,,2022-06-29 16:08:34.153,,
2022-06-29 16:09:35.913,30,,2022-06-29 16:09:35.847,,
2022-06-29 16:10:37.637,30,,2022-06-29 16:10:37.590,,
2022-06-29 16:11:39.947,30,,2022-06-29 16:11:39.863,,
2022-06-29 16:12:42.557,30,,2022-06-29 16:12:42.510,,
2022-06-29 16:13:46.537,30,,2022-06-29 16:13:46.477,,
2022-06-29 16:14:48.510,30,,2022-06-29 16:14:48.457,,
2022-06-29 16:15:50.367,30,,2022-06-29 16:15:50.313,,
2022-06-29 16:16:52.167,30,,2022-06-29 16:16:52.113,,
2022-06-29 16:17:53.970,30,,2022-06-29 16:17:53.907,,
2022-06-29 16:18:55.937,30,,2022-06-29 16:18:55.883,,
2022-06-29 16:19:58.757,30,,2022-06-29 16:19:57.977,,
2022-06-29 16:20:59.827,30,,2022-06-29 16:20:59.770,,
2022-06-29 16:22:01.647,30,,2022-06-29 16:22:01.597,,
2022-06-29 16:23:03.587,30,,2022-06-29 16:23:03.530,,
2022-06-29 16:24:05.443,30,,2022-06-29 16:24:05.377,,
2022-06-29 16:25:07.543,30,,2022-06-29 16:25:07.500,,
2022-06-29 16:26:09.247,30,,2022-06-29 16:26:09.197,,
2022-06-29 16:27:11.443,30,,2022-06-29 16:27:10.987,,
2022-06-29 16:28:13.373,30,,2022-06-29 16:28:12.990,,
2022-06-29 16:29:15.220,30,,2022-06-29 16:29:15.173,,
2022-06-29 16:30:17.690,30,,2022-06-29 16:30:16.957,,
2022-06-29 16:31:18.923,30,,2022-06-29 16:31:18.877,,
2022-06-29 16:32:20.633,30,,2022-06-29 16:32:20.563,,
2022-06-29 16:33:22.520,30,,2022-06-29 16:33:22.480,,
2022-06-29 16:34:24.280,30,,2022-06-29 16:34:24.227,,
2022-06-29 16:35:26.117,30,,2022-06-29 16:35:26.070,,
2022-06-29 16:36:27.893,30,,2022-06-29 16:36:27.847,,
2022-06-29 16:37:29.803,30,,2022-06-29 16:37:29.757,,
2022-06-29 16:38:31.587,30,,2022-06-29 16:38:31.530,,
2022-06-29 16:39:33.337,30,,2022-06-29 16:39:33.287,,
2022-06-29 16:40:35.373,30,,2022-06-29 16:40:35.327,,
2022-06-29 16:41:37.980,30,,2022-06-29 16:41:37.043,,
2022-06-29 16:42:38.963,30,,2022-06-29 16:42:38.913,,
2022-06-29 16:43:41.163,30,,2022-06-29 16:43:41.110,,
2022-06-29 16:44:43.340,30,,2022-06-29 16:44:43.280,,
2022-06-29 16:45:45.113,30,,2022-06-29 16:45:45.057,,
2022-06-29 16:46:47.637,30,,2022-06-29 16:46:47.587,,
2022-06-29 16:47:49.383,30,,2022-06-29 16:47:49.343,,
2022-06-29 16:48:51.177,30,,2022-06-29 16:48:51.130,,
2022-06-29 16:49:52.873,30,,2022-06-29 16:49:52.813,,
2022-06-29 16:50:54.603,30,,2022-06-29 16:50:54.553,,
2022-06-29 16:51:56.397,30,,2022-06-29 16:51:56.340,,
2022-06-29 16:52:59.180,30,,2022-06-29 16:52:59.123,,
2022-06-29 16:54:01.220,30,,2022-06-29 16:54:01.050,,
2022-06-29 16:55:03.847,30,,2022-06-29 16:55:03.040,,
2022-06-29 16:56:04.920,30,,2022-06-29 16:56:04.807,,
2022-06-29 16:57:06.687,30,,2022-06-29 16:57:06.633,,
2022-06-29 16:58:08.387,30,,2022-06-29 16:58:08.337,,
2022-06-29 16:59:10.547,30,,2022-06-29 16:59:10.457,,
2022-06-29 17:00:12.513,30,,2022-06-29 17:00:12.417,,
2022-06-29 17:01:14.573,30,,2022-06-29 17:01:14.523,,
2022-06-29 17:02:16.407,30,,2022-06-29 17:02:16.357,,
2022-06-29 17:03:19.190,30,,2022-06-29 17:03:19.143,,
2022-06-29 17:04:21.567,30,,2022-06-29 17:04:21.520,,
2022-06-29 17:05:24.213,30,,2022-06-29 17:05:24.163,,
2022-06-29 17:06:28.800,30,,2022-06-29 17:06:28.743,,
2022-06-29 17:07:31.280,30,,2022-06-29 17:07:31.227,,
2022-06-29 17:08:34.107,30,,2022-06-29 17:08:33.953,,
